"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","Year"
"22659","05/26/2015","10:32:03",-22.057,-68.5076,"Earthquake",124,1.8,NA,5.6,"MWW",NA,NA,31,0.667,5.3,1.36,"US10002C5J","US","US","US","Reviewed","2015"
"22660","05/26/2015","16:42:33",-0.3277,135.7341,"Earthquake",15,1.8,NA,5.8,"MWW",NA,NA,26,4.331,6.8,0.74,"US10002C8S","US","US","US","Reviewed","2015"
"22661","05/26/2015","23:41:41",-58.7355,-25.2138,"Earthquake",35,1.9,NA,5.7,"MWC",NA,NA,38,19.091,11.8,0.83,"US10002CCF","US","US","GCMT","Reviewed","2015"
"22663","05/29/2015","08:40:13",-47.3578,99.9237,"Earthquake",10,1.8,NA,5.9,"MWC",NA,NA,50,18.978,10.7,0.55,"US20002KA2","US","US","GCMT","Reviewed","2015"
"22664","05/30/2015","11:23:02",27.8386,140.4931,"Earthquake",664,1.9,NA,7.8,"MWW",NA,NA,12,1.675,9.2,1.12,"US20002KI3","US","US","US","Reviewed","2015"
"22665","05/30/2015","17:18:35",-15.7216,-173.3817,"Earthquake",10,1.7,NA,6,"MWC",NA,NA,44,2.377,4.1,1.14,"US20002KP6","US","US","GCMT","Reviewed","2015"
"22666","05/30/2015","18:49:07",30.7856,142.9722,"Earthquake",6.05,2.5,NA,6.2,"MWW",NA,NA,12,3.549,6.3,0.81,"US20002KPM","US","US","US","Reviewed","2015"
"22667","06/01/2015","06:52:41",44.4584,-129.8114,"Earthquake",10,1.8,NA,5.8,"MWW",NA,NA,63,4.278,8,0.91,"US20002KXA","US","US","US","Reviewed","2015"
"22668","06/01/2015","20:11:31",44.4971,-129.9582,"Earthquake",10,1.8,NA,5.9,"MWW",NA,NA,104,4.39,8.1,0.86,"US20002L3N","US","US","US","Reviewed","2015"
"22669","06/04/2015","23:15:44",5.9867,116.5409,"Earthquake",10,1.6,NA,6,"MWW",NA,NA,20,6.431,5.1,1.03,"US20002M5S","US","US","US","Reviewed","2015"
"22670","06/05/2015","14:54:01",-37.1708,78.1817,"Earthquake",10,1.8,NA,5.6,"MWW",NA,NA,53,0.792,7,1.24,"US20002MBQ","US","US","US","Reviewed","2015"
"22671","06/08/2015","06:01:08",41.5615,142.0308,"Earthquake",42,1.9,NA,6.1,"MWW",NA,NA,54,0.956,6.8,1.14,"US20002MVQ","US","US","US","Reviewed","2015"
"22672","06/09/2015","00:16:45",-56.032,-143.8281,"Earthquake",10,1.9,NA,5.6,"MWC",NA,10,166,28.478,15.8,0.8,"US20002NEM","US","US","GCMT","Reviewed","2015"
"22673","06/10/2015","08:33:04",39.6795,143.319,"Earthquake",30.96,3.8,NA,5.8,"MWW",NA,NA,69,2.306,6.8,0.98,"US20002NJ8","US","US","US","Reviewed","2015"
"22674","06/10/2015","13:52:10",-22.4,-68.4323,"Earthquake",124,1.8,NA,6,"MWW",NA,NA,20,0.49,6.5,1.13,"US20002NKT","US","US","US","Reviewed","2015"
"22675","06/11/2015","04:45:30",39.672,143.331,"Earthquake",10.49,2.8,NA,5.7,"MWW",NA,NA,28,2.318,6.5,0.44,"US20002NWL","US","US","US","Reviewed","2015"
"22676","06/11/2015","04:51:24",39.608,143.3457,"Earthquake",5.72,3.2,NA,5.7,"MWW",NA,NA,49,2.36,6.7,0.47,"US20002NWM","US","US","US","Reviewed","2015"
"22677","06/12/2015","11:07:08",-15.6758,-173.0098,"Earthquake",48,1.8,NA,6,"MWW",NA,NA,21,2.122,7,1.19,"US20002PAK","US","US","US","Reviewed","2015"
"22678","06/13/2015","03:17:24",-24.5961,-176.159,"Earthquake",22,1.8,NA,5.5,"MWW",NA,NA,112,4.892,9.2,1.33,"US20002PKY","US","US","US","Reviewed","2015"
"22679","06/15/2015","17:40:54",-9.742,125.2517,"Earthquake",20,0.8,NA,5.8,"MWW",NA,NA,53,0.97,7.2,1.26,"US20002PYZ","US","US","US","Reviewed","2015"
"22680","06/15/2015","21:04:25",4.1537,125.8447,"Earthquake",136,1.9,NA,5.7,"MWW",NA,NA,21,2.908,7.3,1.38,"US20002Q2B","US","US","US","Reviewed","2015"
"22681","06/16/2015","06:17:01",-20.3944,-179.0024,"Earthquake",656,1.9,NA,5.9,"MWW",NA,NA,23,3.834,8.8,1.25,"US20002Q6U","US","US","US","Reviewed","2015"
"22682","06/17/2015","12:51:33",-35.3639,-17.1605,"Earthquake",10,1.7,NA,7,"MWW",NA,NA,34,21.859,10.7,1.16,"US20002QN7","US","US","US","Reviewed","2015"
"22683","06/20/2015","02:10:07",-36.3601,-73.812,"Earthquake",11,1.7,NA,6.4,"MWW",NA,NA,51,2.039,7.1,1.03,"US10002KE8","US","US","US","Reviewed","2015"
"22684","06/20/2015","05:22:18",-36.3656,-73.7481,"Earthquake",4.58,3.5,NA,5.5,"MWW",NA,NA,115,2.004,8.3,0.82,"US10002KFC","US","US","US","Reviewed","2015"
"22685","06/20/2015","05:32:09",-59.6293,-26.5027,"Earthquake",50.11,3.9,NA,5.7,"MWW",NA,NA,32,15.36,10,0.88,"US10002KFG","US","US","US","Reviewed","2015"
"22686","06/20/2015","23:39:10",-23.5295,-177.0845,"Earthquake",151,1.8,NA,5.9,"MWW",NA,NA,17,5.742,8,1.08,"US10002KLD","US","US","US","Reviewed","2015"
"22687","06/21/2015","21:28:16",-20.4307,-178.3276,"Earthquake",562.61,3.7,NA,6,"MWW",NA,NA,18,4.341,9.1,0.68,"US10002KRA","US","US","US","Reviewed","2015"
"22688","06/23/2015","08:59:56",-19.5686,-175.0399,"Earthquake",138,1.8,NA,5.5,"MWB",0.083,14,15,4.852,7.9,0.79,"US10002L2M","US","US","US","Reviewed","2015"
"22689","06/23/2015","12:18:30",27.7375,139.7254,"Earthquake",460,1.9,NA,6.5,"MWW",NA,NA,11,2.277,8.6,0.98,"US10002L37","US","US","US","Reviewed","2015"
"22690","06/23/2015","12:19:29",27.707,139.7745,"Earthquake",462.13,7.6,NA,5.5,"MB",0.076,60,81,5.39,9.8,1.23,"US20002W0Y","US","US","US","Reviewed","2015"
"22691","06/23/2015","12:22:20",27.6475,140.0686,"Earthquake",470.67,8.5,NA,5.6,"MB",0.075,62,55,1.96,10.9,0.68,"US20002W0X","US","US","US","Reviewed","2015"
"22693","06/25/2015","18:45:57",-32.0722,-178.3241,"Earthquake",10,1.7,NA,6,"MWW",NA,NA,57,2.838,8.7,1.32,"US10002LNE","US","US","US","Reviewed","2015"
"22694","06/27/2015","15:34:04",29.0402,34.6672,"Earthquake",22,1.9,NA,5.5,"MWB",0.049,40,57,2.386,8.2,0.76,"US10002M3F","US","US","US","Reviewed","2015"
"22695","06/29/2015","09:09:16",-16.0251,-74.2558,"Earthquake",28,1.8,NA,5.8,"MWW",NA,NA,92,4.408,7.4,0.98,"US10002MB3","US","US","US","Reviewed","2015"
"22696","06/29/2015","22:07:49",36.6802,71.3004,"Earthquake",191,1.8,NA,5.5,"MWB",0.068,21,27,0.731,4,1.25,"US10002MFT","US","US","US","Reviewed","2015"
"22697","06/30/2015","03:39:29",-5.4513,151.5457,"Earthquake",43,1.8,NA,6,"MWW",NA,NA,20,1.395,6.6,0.8,"US10002MHG","US","US","US","Reviewed","2015"
"22698","07/01/2015","14:30:22",-52.2069,159.5935,"Earthquake",10,1.6,NA,5.7,"MWW",NA,NA,53,2.327,5.1,0.94,"USD0005U42","US","US","US","Reviewed","2015"
"22699","07/01/2015","19:35:21",-10.9911,162.5558,"Earthquake",12,1.7,NA,6,"MWW",NA,NA,24,2.995,7.7,0.77,"US10002MW0","US","US","US","Reviewed","2015"
"22700","07/03/2015","01:07:47",37.4593,78.1542,"Earthquake",20,1.7,NA,6.4,"MWW",NA,NA,15,4.272,6.7,1.03,"US10002N4W","US","US","US","Reviewed","2015"
"22701","07/03/2015","03:16:36",11.4234,95.032,"Earthquake",8.71,3,NA,5.5,"MWW",NA,NA,30,2.254,3.9,0.76,"US10002N5Q","US","US","US","Reviewed","2015"
"22702","07/03/2015","06:43:22",10.1691,125.8907,"Earthquake",32,1.8,NA,6.1,"MWW",NA,NA,19,3.095,7.2,1.03,"US10002N6S","US","US","US","Reviewed","2015"
"22703","07/06/2015","03:50:58",-56.6001,-142.1098,"Earthquake",10,1.9,NA,5.6,"MWC",NA,11,150,28.31,14.7,0.84,"US20002ZT7","US","US","GCMT","Reviewed","2015"
"22704","07/06/2015","12:24:09",-20.7139,-174.5001,"Earthquake",44,1.7,NA,5.8,"MWW",NA,NA,21,4.601,4.4,1.17,"US10002NMX","US","US","US","Reviewed","2015"
"22705","07/07/2015","05:10:28",43.9097,147.9748,"Earthquake",49,1.9,NA,6.3,"MWW",NA,NA,33,3.887,7.3,1.26,"US20002VM7","US","US","US","Reviewed","2015"
"22706","07/07/2015","05:35:15",-35.4246,-179.6208,"Earthquake",10,1.7,NA,5.6,"MWW",NA,NA,62,2.709,6,1.5,"US20002VMC","US","US","US","Reviewed","2015"
"22707","07/07/2015","06:21:02",-35.4058,-179.7237,"Earthquake",10,1.7,NA,5.6,"MWW",NA,NA,30,2.674,8,1.02,"US20002VUF","US","US","US","Reviewed","2015"
"22708","07/07/2015","07:01:43",-13.329,-111.6323,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,92,33.259,11.2,0.79,"US20002VN3","US","US","US","Reviewed","2015"
"22709","07/07/2015","16:08:04",-13.3864,-111.3022,"Earthquake",10,1.5,NA,5.7,"MWW",NA,NA,52,32.948,9.3,0.8,"US20002VRZ","US","US","US","Reviewed","2015"
"22710","07/07/2015","20:03:19",-22.9379,-177.1329,"Earthquake",169.64,2.3,NA,5.8,"MWW",NA,NA,22,6.321,8,1.15,"US20002VUQ","US","US","US","Reviewed","2015"
"22711","07/09/2015","13:25:54",13.2949,-90.244,"Earthquake",45.68,5.4,NA,5.6,"MWW",NA,NA,150,1.059,7.1,1.46,"US20002W9Y","US","US","US","Reviewed","2015"
"22712","07/09/2015","18:32:51",40.3631,141.4646,"Earthquake",81,1.8,NA,5.5,"MWW",NA,NA,15,0.735,6,0.86,"US20002WD2","US","US","US","Reviewed","2015"
"22713","07/10/2015","04:12:43",-9.307,158.403,"Earthquake",12,1.7,NA,6.7,"MWW",NA,NA,11,1.529,7.4,1.11,"US20002WHH","US","US","US","Reviewed","2015"
"22714","07/12/2015","04:37:31",2.9918,128.1869,"Earthquake",115,1.9,NA,5.5,"MWB",0.063,24,37,2.352,7.3,0.98,"US20002WVT","US","US","US","Reviewed","2015"
"22715","07/12/2015","17:52:06",33.0229,131.7493,"Earthquake",53,1.9,NA,5.5,"MWW",NA,NA,57,0.739,5.7,0.95,"US20002WZ9","US","US","US","Reviewed","2015"
"22716","07/16/2015","11:01:46",13.8769,-58.4736,"Earthquake",7.07,3.6,NA,5.7,"MWW",NA,NA,31,1.282,6.9,0.98,"US20002XW5","US","US","US","Reviewed","2015"
"22717","07/16/2015","15:16:34",13.8672,-58.5479,"Earthquake",20,1.8,NA,6.5,"MWW",NA,NA,20,1.218,3.3,0.97,"US20002XX1","US","US","US","Reviewed","2015"
"22718","07/17/2015","18:49:54",-18.1214,-178.1887,"Earthquake",536.1,3.4,NA,5.8,"MWW",NA,NA,13,3.597,8,1.32,"US20002Y6H","US","US","US","Reviewed","2015"
"22719","07/18/2015","02:27:34",-10.4012,165.1409,"Earthquake",11,1.7,NA,7,"MWW",NA,NA,22,5.205,7.2,1.09,"US20002YAW","US","US","US","Reviewed","2015"
"22720","07/20/2015","11:08:19",-35.5251,-105.0838,"Earthquake",14,1.7,NA,5.7,"MWB",0.04,60,34,9.125,10.4,0.68,"US20002YND","US","US","US","Reviewed","2015"
"22721","07/23/2015","03:56:53",-0.6942,-21.1776,"Earthquake",8.55,2,NA,5.5,"MWB",0.054,33,42,9.892,8.6,0.67,"US20002ZFA","US","US","US","Reviewed","2015"
"22722","07/24/2015","21:44:39",-8.2477,108.9163,"Earthquake",48,1.2,NA,5.5,"MWB",0.06,27,17,1.625,5.6,1.33,"US20002ZZG","US","US","US","Reviewed","2015"
"22723","07/26/2015","07:05:10",-9.2585,112.6695,"Earthquake",52,1.8,NA,5.9,"MWW",NA,NA,14,1.661,6.4,1.1,"US2000306U","US","US","US","Reviewed","2015"
"22724","07/26/2015","22:42:13",-18.024,-174.0685,"Earthquake",7.3,2.9,NA,5.8,"MWB",0.048,41,50,4.065,7.8,0.75,"US2000308L","US","US","US","Reviewed","2015"
"22725","07/27/2015","04:49:46",52.376,-169.4458,"Earthquake",29,1.8,NA,6.9,"MWW",NA,NA,39,0.444,4.5,1.12,"US200030AQ","US","US","US","Reviewed","2015"
"22726","07/27/2015","04:51:23",52.7811,-169.5781,"Earthquake",31.9,7.1,NA,5.9,"MB",0.09,46,178,0.478,13.3,0.61,"US100032BK","US","US","US","Reviewed","2015"
"22727","07/27/2015","04:55:46",52.208,-169.4223,"Earthquake",27.84,4.4,NA,5.7,"MB",0.037,263,120,0.608,5.2,1.04,"US200030AR","US","US","US","Reviewed","2015"
"22728","07/27/2015","07:40:31",52.2572,-169.3458,"Earthquake",35,1.8,NA,5.9,"MWC",NA,NA,57,0.578,3,0.86,"US200030BU","US","US","GCMT","Reviewed","2015"
"22729","07/27/2015","07:40:51",52.3581,-169.0816,"Earthquake",35,1.9,NA,5.5,"MB",0.033,329,59,0.63,6.9,0.98,"US100032CA","US","US","US","Reviewed","2015"
"22730","07/27/2015","07:41:05",52.4977,-169.7473,"Earthquake",35,1.9,NA,5.6,"MB",0.065,82,88,0.721,7.5,1.28,"US100032CB","US","US","US","Reviewed","2015"
"22731","07/27/2015","07:43:31",52.2564,-169.3455,"Earthquake",39.58,4.7,NA,5.7,"MB",0.027,483,64,0.579,4.8,0.77,"US200030BX","US","US","US","Reviewed","2015"
"22732","07/27/2015","21:41:22",-2.6286,138.5277,"Earthquake",48,1.8,NA,7,"MWW",NA,NA,12,6.278,6.7,1.2,"US200030KN","US","US","US","Reviewed","2015"
"22733","07/29/2015","00:10:25",8.2309,-77.3152,"Earthquake",12,2.8,NA,5.9,"MWW",NA,NA,31,2.647,3.9,1.06,"US2000314H","US","US","US","Reviewed","2015"
"22735","07/29/2015","23:41:40",-25.3727,154.2281,"Earthquake",9,1.7,NA,5.5,"MWW",NA,NA,21,2.846,7.1,0.71,"US10002W8V","US","US","US","Reviewed","2015"
"22736","07/30/2015","07:42:25",-27.0321,-176.0466,"Earthquake",10,1.7,NA,5.6,"MWB",0.047,44,55,2.761,7.7,1.12,"US10002WA2","US","US","US","Reviewed","2015"
"22737","07/30/2015","18:51:06",-56.9716,-140.9507,"Earthquake",9.11,3.8,NA,5.7,"MWW",NA,NA,61,27.292,13.1,1.29,"US10002WVS","US","US","US","Reviewed","2015"
"22738","08/03/2015","14:01:53",-16.4701,-174.3557,"Earthquake",176,1.8,NA,5.7,"MWW",NA,NA,25,3.56,7.8,0.82,"US10002XG5","US","US","US","Reviewed","2015"
"22739","08/05/2015","09:13:24",16.1408,-93.664,"Earthquake",100.85,4,NA,5.7,"MWW",NA,NA,34,1.473,7,0.92,"US10002Y1Z","US","US","US","Reviewed","2015"
"22740","08/06/2015","23:59:46",-26.4576,-178.2511,"Earthquake",269,1.8,NA,6,"MWW",NA,NA,13,2.791,7.8,1.08,"US10002ZZ0","US","US","US","Reviewed","2015"
"22741","08/07/2015","01:25:03",-2.1412,28.8973,"Earthquake",11,1.8,NA,5.8,"MWW",NA,NA,20,2.392,8.4,0.87,"US10002ZZN","US","US","US","Reviewed","2015"
"22742","08/07/2015","01:28:37",-2.0913,28.9515,"Earthquake",10,1.8,NA,5.5,"MWC",NA,NA,28,2.319,6.1,0.77,"US10002ZZR","US","US","GCMT","Reviewed","2015"
"22743","08/07/2015","12:18:49",1.0861,-85.2083,"Earthquake",10,1.8,NA,5.6,"MWW",NA,NA,64,5.37,6.2,0.95,"US1000303S","US","US","US","Reviewed","2015"
"22744","08/07/2015","13:48:32",1.0467,-85.2705,"Earthquake",6.87,4.4,NA,5.6,"MWW",NA,NA,71,5.298,7.9,1.18,"US1000304A","US","US","US","Reviewed","2015"
"22745","08/07/2015","14:22:14",-18.0441,-174.141,"Earthquake",28.49,4.7,NA,5.7,"MWC",NA,NA,64,4.126,8,1.17,"US1000304I","US","US","GCMT","Reviewed","2015"
"22746","08/09/2015","04:46:21",-27.4539,-176.2457,"Earthquake",10,1.2,NA,5.8,"MWW",NA,NA,24,2.32,7,1.08,"US100030I6","US","US","US","Reviewed","2015"
"22747","08/10/2015","04:12:16",-9.3438,158.0525,"Earthquake",22,1.5,NA,6.6,"MWW",NA,NA,20,1.872,6.7,1.01,"US100030PG","US","US","US","Reviewed","2015"
"22748","08/10/2015","04:24:31",-9.2998,157.9543,"Earthquake",10,1.8,NA,5.9,"MWC",NA,NA,22,1.971,7.1,1.37,"US100030PK","US","US","GCMT","Reviewed","2015"
"22749","08/10/2015","07:43:37",-19.6389,-174.8533,"Earthquake",46.28,3.9,NA,5.6,"MWC",NA,NA,18,4.684,7.2,0.95,"US100030Q4","US","US","GCMT","Reviewed","2015"
"22750","08/10/2015","10:05:26",36.5326,71.2147,"Earthquake",224,1.8,NA,5.9,"MWW",NA,NA,17,0.782,5.5,0.92,"US100030QS","US","US","US","Reviewed","2015"
"22751","08/10/2015","19:19:32",-27.0812,-176.2405,"Earthquake",6.73,3.5,NA,5.5,"MWC",NA,NA,76,2.621,10.5,0.93,"US100030VH","US","US","GCMT","Reviewed","2015"
"22752","08/11/2015","13:35:49",-27.0523,-176.2728,"Earthquake",10,1.7,NA,5.7,"MWB",0.043,53,35,2.628,9,0.8,"US10003137","US","US","US","Reviewed","2015"
"22753","08/12/2015","00:14:40",-31.6968,-71.6227,"Earthquake",30,1.8,NA,5.5,"MWW",NA,NA,45,0.724,5.1,1,"US100031B7","US","US","US","Reviewed","2015"
"22754","08/12/2015","18:19:16",-9.3286,157.8422,"Earthquake",4.18,3.6,NA,5.6,"MWW",NA,NA,31,2.08,7.6,0.79,"US100031LU","US","US","US","Reviewed","2015"
"22755","08/12/2015","18:49:24",-9.3293,157.8772,"Earthquake",6.43,2.6,NA,6.5,"MWW",NA,NA,16,2.045,4.8,1.19,"US100031ME","US","US","US","Reviewed","2015"
"22756","08/13/2015","10:39:54",-37.0152,78.0623,"Earthquake",10,1.8,NA,6,"MWW",NA,NA,38,0.873,8.1,1.4,"US100031WX","US","US","US","Reviewed","2015"
"22757","08/13/2015","11:28:15",-36.8531,78.3516,"Earthquake",10,1.8,NA,5.6,"MWC",NA,NA,57,1.129,5.3,1.29,"US100031XF","US","US","GCMT","Reviewed","2015"
"22758","08/13/2015","14:04:58",-3.9835,152.8909,"Earthquake",135,1.7,NA,5.6,"MWW",NA,NA,19,0.754,7.8,1.11,"US100031XU","US","US","US","Reviewed","2015"
"22759","08/13/2015","14:08:00",23.9689,122.4897,"Earthquake",17.32,2.7,NA,5.6,"MWW",NA,NA,81,0.687,4.4,0.97,"US100031XW","US","US","US","Reviewed","2015"
"22760","08/14/2015","13:28:01",-27.315,-176.0525,"Earthquake",11.19,4,NA,5.7,"MWW",NA,NA,71,2.536,9.5,0.96,"US1000329U","US","US","US","Reviewed","2015"
"22761","08/14/2015","18:03:03",21.1039,-45.8517,"Earthquake",10,1.7,NA,5.5,"MWW",NA,NA,41,15.299,9.4,0.83,"US100032BG","US","US","US","Reviewed","2015"
"22762","08/15/2015","07:47:07",-10.8968,163.8226,"Earthquake",8,1.7,NA,6.4,"MWW",NA,NA,21,4.08,6.3,0.64,"US100032K6","US","US","US","Reviewed","2015"
"22763","08/15/2015","20:16:21",51.6744,-175.1577,"Earthquake",32,1.7,NA,5.7,"MWW",NA,NA,34,0.669,4.2,1.05,"US100032M5","US","US","US","Reviewed","2015"
"22764","08/17/2015","14:42:33",21.952,146.6278,"Earthquake",10,1.7,NA,5.7,"MWW",NA,NA,13,6.525,7.5,0.66,"US100032WE","US","US","US","Reviewed","2015"
"22765","08/17/2015","16:16:59",13.7124,51.7823,"Earthquake",10,1.6,NA,5.7,"MWW",NA,NA,34,2.453,5.7,1.11,"US100032X1","US","US","US","Reviewed","2015"
"22766","08/20/2015","11:00:10",0.4854,126.5894,"Earthquake",46.14,3.6,NA,5.8,"MWW",NA,NA,24,0.827,6,1,"US100033N1","US","US","US","Reviewed","2015"
"22767","08/20/2015","13:29:09",-8.0603,149.553,"Earthquake",52.4,5.8,NA,5.5,"MWW",NA,NA,29,4.638,6.3,1.17,"US100033NW","US","US","US","Reviewed","2015"
"22768","08/23/2015","23:10:04",-29.7191,-71.2958,"Earthquake",31.11,2.9,NA,5.7,"MWW",NA,NA,33,0.205,4.5,1.01,"US100034DU","US","US","US","Reviewed","2015"
"22769","08/24/2015","09:41:27",-30.6502,-178.7298,"Earthquake",228,1.9,NA,6,"MWW",NA,NA,59,1.563,8.5,1.32,"US100034FL","US","US","US","Reviewed","2015"
"22770","08/26/2015","13:51:36",-57.4999,-25.8754,"Earthquake",32,1.7,NA,5.8,"MWW",NA,NA,26,6.782,9.3,0.68,"US10003508","US","US","US","Reviewed","2015"
"22771","09/01/2015","15:24:09",31.2841,141.7062,"Earthquake",10,1.8,NA,5.6,"MB",0.029,410,25,2.43,6.6,0.74,"US20003FE2","US","US","US","Reviewed","2015"
"22772","09/01/2015","15:25:10",31.1806,141.6,"Earthquake",8,1.7,NA,6,"MWW",NA,NA,19,2.452,8.2,0.8,"US20003FEG","US","US","US","Reviewed","2015"
"22773","09/02/2015","01:18:29",4.4132,124.6314,"Earthquake",296,1.8,NA,5.7,"MWW",NA,NA,26,2.802,7.5,1.29,"US20003FKB","US","US","US","Reviewed","2015"
"22774","09/03/2015","13:24:01",2.0551,126.6816,"Earthquake",53,1.8,NA,5.5,"MWW",NA,NA,30,1.447,4.9,1.3,"US20003FYY","US","US","US","Reviewed","2015"
"22775","09/05/2015","07:00:01",51.371,-174.3382,"Earthquake",20,1.8,NA,5.5,"MWW",NA,NA,78,0.836,4.2,0.83,"US20003GLC","US","US","US","Reviewed","2015"
"22776","09/05/2015","13:16:09",49.3613,155.6819,"Earthquake",38,1.9,NA,5.8,"MWW",NA,NA,37,3.96,8.2,1.29,"US20003GPV","US","US","US","Reviewed","2015"
"22777","09/07/2015","08:46:09",-24.2427,179.1278,"Earthquake",535,1.9,NA,6,"MWW",NA,NA,21,5.634,8.7,1.1,"US20003H2I","US","US","US","Reviewed","2015"
"22778","09/07/2015","09:13:57",-32.8199,-177.8599,"Earthquake",17,1.2,NA,6.3,"MWW",NA,NA,56,3.564,7.3,1.47,"US20003H2M","US","US","US","Reviewed","2015"
"22779","09/07/2015","14:06:28",-32.8265,-178.198,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,45,3.577,9,0.99,"US20003H3X","US","US","US","Reviewed","2015"
"22780","09/08/2015","06:48:33",-33.0304,-178.5336,"Earthquake",10,1.7,NA,5.8,"MWW",NA,NA,34,3.808,6.7,1.15,"US20003H78","US","US","US","Reviewed","2015"
"22782","09/08/2015","08:19:54",-33.1147,-178.2046,"Earthquake",12.77,3.1,NA,5.5,"MWW",NA,NA,56,3.864,8.3,0.69,"US20003H7J","US","US","US","Reviewed","2015"
"22783","09/09/2015","07:05:44",-49.5321,-116.3317,"Earthquake",10,1.8,NA,5.9,"MWB",0.061,26,63,35.377,13.9,0.89,"US20003HME","US","US","US","Reviewed","2015"
"22784","09/10/2015","10:26:45",52.0985,-169.5349,"Earthquake",20,1.8,NA,6,"MWW",NA,NA,61,0.698,5.3,1.45,"US20003HQ5","US","US","US","Reviewed","2015"
"22785","09/11/2015","21:19:19",-5.9797,146.6564,"Earthquake",26,1.7,NA,5.5,"MWW",NA,NA,16,3.974,7.3,0.79,"US20003IV3","US","US","US","Reviewed","2015"
"22786","09/12/2015","20:32:27",-32.6066,-178.0287,"Earthquake",8,1.7,NA,5.9,"MWW",NA,NA,30,3.352,7.9,1.06,"US20003J2V","US","US","US","Reviewed","2015"
"22787","09/12/2015","22:16:08",-6.1236,147.3658,"Earthquake",27,1.8,NA,5.5,"MWW",NA,NA,12,4.053,7,1.13,"US20003J36","US","US","US","Reviewed","2015"
"22788","09/13/2015","07:57:33",24.8094,-109.5138,"Earthquake",10,2,NA,5.6,"MWW",NA,NA,117,1.185,8.1,1.25,"US20003J4T","US","US","US","Reviewed","2015"
"22789","09/13/2015","08:14:09",24.913,-109.6226,"Earthquake",10,2,NA,6.7,"MWW",NA,NA,123,1.256,6.6,0.65,"US20003J4U","US","US","US","Reviewed","2015"
"22790","09/16/2015","07:40:59",1.8841,126.4288,"Earthquake",41.55,3.7,NA,6.3,"MWW",NA,NA,19,1.449,6.4,0.99,"US20003JWC","US","US","US","Reviewed","2015"
"22791","09/16/2015","14:03:22",-6.0114,151.4768,"Earthquake",6,1.5,NA,6.1,"MWW",NA,NA,13,1.933,4.6,0.92,"US20003JYZ","US","US","US","Reviewed","2015"
"22792","09/16/2015","22:54:33",-31.5729,-71.6744,"Earthquake",22.44,3.2,NA,8.3,"MWW",NA,NA,19,0.684,4.7,1.02,"US20003K7A","US","US","US","Reviewed","2015"
"22794","09/16/2015","23:03:57",-31.7502,-71.7425,"Earthquake",19.1,3.3,NA,6.1,"MWR",NA,NA,93,1.077,3.2,0.95,"US20003K7M","US","US","GUC","Reviewed","2015"
"22795","09/16/2015","23:09:07",-31.1055,-71.405,"Earthquake",37.8,4.8,NA,5.6,"MB",0.07,72,68,0.473,5.7,0.8,"US20003KDQ","US","US","US","Reviewed","2015"
"22796","09/16/2015","23:09:26",-31.5743,-71.6717,"Earthquake",35,1.9,NA,5.7,"MB",0.073,67,94,1.585,7.9,0.89,"US10003ITV","US","US","US","Reviewed","2015"
"22797","09/16/2015","23:16:09",-31.6,-71.9189,"Earthquake",35,1.8,NA,6.1,"MB",0.051,146,98,0.954,5.3,0.76,"US20003K83","US","US","US","Reviewed","2015"
"22798","09/16/2015","23:18:42",-31.5622,-71.4262,"Earthquake",28.41,3,NA,7,"MWW",NA,NA,13,0.903,4.3,0.93,"US20003K7W","US","US","US","Reviewed","2015"
"22799","09/16/2015","23:23:26",-31.1674,-71.772,"Earthquake",32.1,4.9,NA,5.7,"MB",0.137,19,147,0.505,4.6,0.74,"US20003M3N","US","US","US","Reviewed","2015"
"22800","09/16/2015","23:28:23",-30.7179,-71.8037,"Earthquake",20.71,4,NA,5.5,"MB",0.099,35,112,0.151,5.4,0.67,"US10003IT9","US","US","US","Reviewed","2015"
"22801","09/16/2015","23:38:02",-31.7842,-72.0222,"Earthquake",12.46,3,NA,5.9,"MB",0.039,238,28,1.155,5.1,0.74,"US20003K89","US","US","US","Reviewed","2015"
"22802","09/17/2015","01:33:03",-31.7363,-72.0265,"Earthquake",9.29,2.9,NA,5.8,"MWR",0.049,40,34,1.111,2.3,0.88,"US20003KC5","US","US","US","Reviewed","2015"
"22803","09/17/2015","01:41:06",-31.1043,-71.6504,"Earthquake",42.32,3.8,NA,6.4,"MWW",NA,NA,60,0.429,5.3,0.57,"US20003KCN","US","US","US","Reviewed","2015"
"22804","09/17/2015","02:59:29",-30.9669,-71.5398,"Earthquake",35,1.9,NA,5.5,"MWR",NA,NA,112,0.303,4.8,0.74,"US20003KE3","US","US","GUC","Reviewed","2015"
"22805","09/17/2015","03:55:15",-31.4244,-71.6876,"Earthquake",27,1.8,NA,6.5,"MWW",NA,NA,62,0.749,2.2,0.65,"US20003KFJ","US","US","US","Reviewed","2015"
